user,pscat,cfcat,agecat,ofcat,sfcat,bfcat
bbdb0501998e3ccf1efc6931b1e71010,highps,highcf,highage,highof,highsf,highbf
bc844e5446b04d6fdbf81397fd1939b2,highps,lowcf,lowage,highof,lowsf,lowbf
c035cf8d9d71d4132c799539bd4a046f,highps,highcf,highage,highof,lowsf,lowbf
c0e93dbbaae97f015b830f60f273944a,lowps,highcf,lowage,highof,highsf,lowbf
c0f34589a5020dd05e9eb901d0b80059,,lowcf,highage,highof,highsf,highbf
c1ccc3abe6c387a29625777e571d04f8,highps,lowcf,lowage,highof,lowsf,lowbf
c299e4356f136fc8c5f10bed071813ed,lowps,lowcf,highage,lowof,lowsf,lowbf
c38395c6b5dce4a176bc057a377f7f1d,lowps,highcf,highage,lowof,highsf,highbf
c57fab4333fa5a222d1ffe1e6e91a6f1,lowps,highcf,lowage,lowof,highsf,lowbf
c95861b37d819ed8c8bb299522df9b5a,lowps,highcf,lowage,highof,highsf,lowbf
ca07fd3bb37da397e1a2cc76181b3018,lowps,highcf,highage,highof,highsf,highbf
cbc99f1a164f6de4d593a0b215cc34ce,highps,lowcf,lowage,highof,highsf,highbf
cc425098573b91627428759ef02b5a39,,highcf,lowage,lowof,lowsf,highbf
cc4a4478fd359fdf87fb84e1aac3dbd8,highps,lowcf,lowage,lowof,highsf,lowbf
d061962d269ecaf81ff57ade89914e13,highps,highcf,lowage,lowof,highsf,lowbf
d673e48d5711a9b58ddff9c881b2c0fc,lowps,highcf,lowage,highof,highsf,lowbf
d7a7d5702a6e44c655c40e5f81c8175c,highps,lowcf,highage,highof,highsf,highbf
d96cd90bac70df805c221815b2a32b8b,lowps,lowcf,lowage,highof,highsf,lowbf
dcb79db6b0a7446ed7189fd17e1a8947,highps,lowcf,,,,
e496779be512901f17aaf3f32a0e994c,lowps,lowcf,highage,highof,lowsf,lowbf
e4ee296bc93617d277f0f212ea9d9422,lowps,lowcf,lowage,highof,highsf,lowbf
e6d9f33094502917d90aa8cb05a18b37,lowps,highcf,highage,lowof,lowsf,lowbf
e8daecc7c7d6866a267d92623d077f53,highps,highcf,lowage,lowof,highsf,lowbf
edb7530df1d4af4425e11b4cd0d7ba77,highps,highcf,lowage,lowof,lowsf,lowbf
f1f19475f4c64e3258b7fbbd1744b63b,highps,highcf,lowage,highof,lowsf,lowbf
f2d52cd808b3c46d582be8d9b7aca776,,highcf,lowage,lowof,lowsf,lowbf
f7f273cee7ad816c9fc8d736faae7d54,highps,lowcf,highage,lowof,lowsf,lowbf
f9d402c4ad316a100b45cb3c8bd12560,highps,lowcf,lowage,lowof,lowsf,lowbf
faeef5fad22db20e7bb83d4908a97a38,highps,highcf,highage,lowof,lowsf,lowbf
fb55c3734f0a3d2ee3a980688a9f73a8,lowps,highcf,highage,highof,lowsf,lowbf
fb6ede6ea0fb0c8d91d5a9b9dc81fbd4,lowps,highcf,highage,highof,lowsf,highbf
fcd35830186b40fa44d9709657fd9747,highps,lowcf,lowage,highof,highsf,lowbf
fe577fa22a63669f9c68a4b68c2f8b3e,highps,lowcf,highage,highof,lowsf,lowbf
ff9fa8d24fe1b291a6ccce7f83a437c9,lowps,highcf,highage,highof,lowsf,lowbf
